puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
4,easy,min_conflicts,0,0,True,44.996,0,0,0,29,0,29,solved
4,easy,min_conflicts,1,1,True,69.222,0,0,0,43,0,43,solved
4,easy,min_conflicts,2,2,True,32.625,0,0,0,24,0,24,solved
4,easy,min_conflicts,3,3,True,50.928,0,0,0,34,0,32,solved
4,easy,min_conflicts,4,4,True,42.83,0,0,0,27,0,27,solved
4,easy,min_conflicts,5,5,True,73.062,0,0,0,69,0,69,solved
4,easy,min_conflicts,6,6,True,33.609,0,0,0,39,0,39,solved
4,easy,min_conflicts,7,7,True,201.443,0,0,0,136,0,136,solved
4,easy,min_conflicts,8,8,True,212.068,0,0,0,164,0,164,solved
4,easy,min_conflicts,9,9,True,73.39,0,0,0,47,0,47,solved
5,easy,min_conflicts,0,0,True,175.492,0,0,0,162,0,162,solved
5,easy,min_conflicts,1,1,True,29.378,0,0,0,23,0,23,solved
5,easy,min_conflicts,2,2,True,106.997,0,0,0,74,0,74,solved
5,easy,min_conflicts,3,3,True,44.094,0,0,0,35,0,35,solved
5,easy,min_conflicts,4,4,True,124.26,0,0,0,108,0,108,solved
5,easy,min_conflicts,5,5,True,97.0,0,0,0,83,0,83,solved
5,easy,min_conflicts,6,6,True,40.47,0,0,0,31,0,31,solved
5,easy,min_conflicts,7,7,True,158.142,0,0,0,131,0,131,solved
5,easy,min_conflicts,8,8,True,40.455,0,0,0,27,0,27,solved
5,easy,min_conflicts,9,9,True,90.823,0,0,0,74,0,74,solved
6,easy,min_conflicts,0,0,True,72.924,0,0,0,48,0,48,solved
6,easy,min_conflicts,1,1,True,49.715,0,0,0,32,0,32,solved
6,easy,min_conflicts,2,2,True,58.551,0,0,0,34,0,34,solved
6,easy,min_conflicts,3,3,True,38.34,0,0,0,23,0,22,solved
6,easy,min_conflicts,4,4,True,53.527,0,0,0,43,0,39,solved
6,easy,min_conflicts,5,5,True,55.917,0,0,0,32,0,32,solved
6,easy,min_conflicts,6,6,True,57.843,0,0,0,29,0,29,solved
6,easy,min_conflicts,7,7,True,182.48,0,0,0,114,0,112,solved
6,easy,min_conflicts,8,8,True,111.548,0,0,0,73,0,70,solved
6,easy,min_conflicts,9,9,True,41.954,0,0,0,32,0,32,solved
7,easy,min_conflicts,0,0,True,69.826,0,0,0,57,0,57,solved
7,easy,min_conflicts,1,1,True,62.137,0,0,0,39,0,39,solved
7,easy,min_conflicts,2,2,True,61.828,0,0,0,38,0,38,solved
7,easy,min_conflicts,3,3,True,34.399,0,0,0,27,0,27,solved
7,easy,min_conflicts,4,4,True,62.912,0,0,0,46,0,46,solved
7,easy,min_conflicts,5,5,True,98.57,0,0,0,75,0,75,solved
7,easy,min_conflicts,6,6,True,32.336,0,0,0,25,0,25,solved
7,easy,min_conflicts,7,7,True,192.636,0,0,0,156,0,156,solved
7,easy,min_conflicts,8,8,True,100.539,0,0,0,60,0,60,solved
7,easy,min_conflicts,9,9,True,43.534,0,0,0,33,0,33,solved
8,easy,min_conflicts,0,0,True,329.282,0,0,0,182,0,169,solved
8,easy,min_conflicts,1,1,True,68.746,0,0,0,41,0,40,solved
8,easy,min_conflicts,2,2,True,1927.614,0,0,0,1028,1,1028,solved
8,easy,min_conflicts,3,3,True,98.093,0,0,0,71,0,71,solved
8,easy,min_conflicts,4,4,True,47.597,0,0,0,30,0,30,solved
8,easy,min_conflicts,5,5,True,2284.782,0,0,0,1048,1,1044,solved
8,easy,min_conflicts,6,6,True,95.731,0,0,0,65,0,65,solved
